contrast,odds.ratio,SE,df,null,t.ratio,p.value
Forest SCU_MYR / Forest SID_INE,0.2331868168704619,0.08476040393746356,364,1,-4.0054111599876805,0.01215465071956967
Savanna ACA_ROB / Savanna KRA_FLO,0.358573475235782,0.09344258678310971,364,1,-3.9356865604809603,0.015703261354835907
Thicket GYM_HAR / Savanna SCU_MYR,0.45040437836753994,0.09187562582427253,364,1,-3.910142644575618,0.017222337903507134
Savanna ACA_ROB / Forest GYM_HAR,0.3771412506006585,0.09509281042788326,364,1,-3.867419809987752,0.02006168682291498
Savanna EUC_RAC / Savanna SCU_MYR,0.4669385490695265,0.09268024202171928,364,1,-3.83685455223229,0.0223441347561536
Thicket GYM_HAR / Forest SID_INE,0.29176779795631236,0.09987277645517048,364,1,-3.5985652205965875,0.049608859525328564
Savanna EUC_RAC / Forest SID_INE,0.30247848108563075,0.10155589214656034,364,1,-3.5614592748364244,0.05577508376029405
Savanna ACA_ROB / Savanna EUC_RAC,0.42480419251086976,0.10262999835349654,364,1,-3.543664807096253,0.05895717539912926
Forest SID_INE / Savanna SPI_AFR,5.167339989835298,2.4898158891784257,364,1,3.4085341220356886,0.08849651917807155
Savanna ACA_ROB / Thicket GYM_HAR,0.4403985902814942,0.10810285294408288,364,1,-3.3408915415119367,0.10732682061377186
Savanna ACA_ROB / Thicket SID_INE,0.3888109317804084,0.11000485464703806,364,1,-3.338897620809662,0.10792721008645778
Savanna GYM_HAR / Forest SID_INE,0.30568244740249095,0.10940548889637418,364,1,-3.3115105035403087,0.11644782781530572
Forest KRA_FLO / Forest SID_INE,0.26743554249485685,0.10678861893658152,364,1,-3.3029222628364154,0.11922666816246186
Savanna GYM_HAR / Savanna SCU_MYR,0.471884538542539,0.10896626463218674,364,1,-3.2523384488630085,0.13666393499795126
Savanna ACA_ROB / Savanna GYM_HAR,0.42035166886866754,0.1136088836364623,364,1,-3.2066462028618075,0.15404435312236864
Forest GYM_HAR / Forest SID_INE,0.3407055757089633,0.11523662912592342,364,1,-3.183450975825006,0.1634799954129863
Forest ACA_ROB / Savanna SID_INE,0.18529423539288578,0.10040285520125818,364,1,-3.1111756905055112,0.19560867745483734
Forest GYM_HAR / Savanna SCU_MYR,0.5259500332402276,0.11123844591045531,364,1,-3.0380566639257776,0.2324035646960435
Forest SID_INE / Thicket SID_INE,3.02590430498248,1.1071487189508984,364,1,3.0260717641099975,0.23884871054184975
Savanna SCU_MYR / Savanna SPI_AFR,3.347355138043422,1.3377787942216937,364,1,3.023052708854723,0.24049058971514403
