species,site,herbivory_type,habitat,individual,herbivory_percentage_median,herbivory_percentage_mean,herbratio
KRA_FLO,T22,chew_perc,Thicket,1,0.045927482,0.3139814791153846,0.0032398147911538457
KRA_FLO,T22,chew_perc,Thicket,2,3.9630421904999995,10.28299256525,0.1029299256525
KRA_FLO,T22,chew_perc,Thicket,3,1.408538486,4.5404620677058825,0.04550462067705883
KRA_FLO,T23,sap_min_perc,Thicket,1,0,0,1e-4
KRA_FLO,T23,sap_min_perc,Thicket,2,0,0,1e-4
KRA_FLO,T23,sap_min_perc,Thicket,3,0,0,1e-4
KRA_FLO,T23,chew_perc,Thicket,1,0.646581965,1.3672570154444446,0.013772570154444445
KRA_FLO,T23,chew_perc,Thicket,2,0.438796444,2.9535477775882355,0.029635477775882355
KRA_FLO,T23,chew_perc,Thicket,3,0.3192630125,2.5055017533636366,0.025155017533636366
KRA_FLO,T24,sap_min_perc,Thicket,1,0,0,1e-4
KRA_FLO,T24,sap_min_perc,Thicket,2,0,0,1e-4
KRA_FLO,T24,sap_min_perc,Thicket,3,0,0,1e-4
KRA_FLO,T24,chew_perc,Thicket,1,10.4227025275,13.50562241545,0.1351562241545
KRA_FLO,T24,chew_perc,Thicket,2,0.014427932,0.6753671484347826,0.006853671484347826
KRA_FLO,T24,chew_perc,Thicket,3,0.030171603999999998,1.6089671347272727,0.016189671347272727
SCU_MYR,F3,sap_min_perc,Forest,1,0,0,1e-4
SCU_MYR,F3,sap_min_perc,Forest,2,0,0,1e-4
SCU_MYR,F3,sap_min_perc,Forest,3,0,0,1e-4
SCU_MYR,F3,chew_perc,Forest,1,0.298593953,2.6593212433684212,0.02669321243368421
SCU_MYR,F3,chew_perc,Forest,2,0.0932266955,1.38623137778125,0.0139623137778125
SCU_MYR,F3,chew_perc,Forest,3,0.108342362,1.5316403579365079,0.015416403579365079
SCU_MYR,F5,sap_min_perc,Forest,1,0,0,1e-4
SCU_MYR,F5,sap_min_perc,Forest,2,0,0,1e-4
SCU_MYR,F5,sap_min_perc,Forest,3,0,0,1e-4
SCU_MYR,F5,chew_perc,Forest,1,0.019614606,3.3372528507499997,0.0334725285075
SCU_MYR,F5,chew_perc,Forest,2,1.125244618,3.49387125888,0.0350387125888
SCU_MYR,F5,chew_perc,Forest,3,3.14084507,4.792955473809523,0.04802955473809523
